	Top	Gene	logFC.vs.2	logFC.vs.3	logFC.vs.4	logFC.vs.5	logFC.vs.6	logFC.vs.7	logFC.vs.1	FDR.vs.2	FDR.vs.3	FDR.vs.4	FDR.vs.5	FDR.vs.6	FDR.vs.7	FDR.vs.1
11142	199	TBC1D16	1.05432888904715	1.90963857456249	1.69138087663207	1.77538193605868	-0.805217893252403	0.805217893252403	0.384351441060387	4.28441031489328e-09	1.93809138844324e-23	1.46289145602447e-18	2.58902740092078e-13	6.11169015457029e-06	6.11169015457029e-06	0.0394200646287809
6239	200	PLEC	1.4889822763833	1.6364433984794	1.34046029132003	1.14632667359338	0.346356576169711	-0.346356576169711	1.12657311533909	3.46248115664199e-26	7.40030861894568e-29	4.57088036812937e-20	5.0399111623918e-11	0.136364227106405	0.136364227106405	2.61936320638512e-17
12498	200	NOP53	-1.1679945182626	0.0244140465847425	0.321301632527059	-0.26632863132684	-0.0176579434862068	0.0176579434862068	-1.75677067591587	2.03809481885634e-15	0.963062245394193	0.100001183130896	0.254109974921274	0.997098923058209	0.997098923058209	6.14705015024395e-37
995	201	MPC2	0.939291245138309	0.366655274215988	1.04740950303856	1.06196546679825	0.0286328576804406	-0.0286328576804406	1.77430152872017	7.67020701845273e-12	0.0108123289603103	3.40378233349751e-13	1.26303022208416e-09	0.962314161879381	0.962314161879381	7.82225401476688e-37
4242	201	VARS2	1.06775383016571	1.37841246674605	1.35290946262191	1.57995897931921	1.17646194928351	-1.17646194928351	0.835441629431417	1.6242903901452e-07	1.33077099780911e-11	8.01137227956282e-11	1.43605325244618e-09	6.76118361685646e-06	6.76118361685646e-06	2.98427404639862e-05
7894	201	PGAM1	-0.121294966873706	-0.226507177409914	-1.13173775478642	-1.15829889780535	-0.308239983578975	0.308239983578975	0.00221106188419593	0.426351362496276	0.10115254691087	4.69620322433181e-22	8.27213359970108e-19	0.142970812317175	0.142970812317175	0.993269543624821
9733	201	PSMA4	-0.359107227290993	-1.83589472418022	-0.923545269192702	-1.38909756724946	-0.00471457102716119	0.00471457102716119	-0.114356061041761	0.0575274072044234	2.54239252654316e-33	4.00949359350591e-08	1.01852606958713e-14	1	1	0.592836332247793
11990	201	TMEM205	-1.97305765802994	-0.56448754898395	-0.567544142036468	-0.663892206312442	-0.658404207877938	0.658404207877938	-1.37052918359316	3.60219443898292e-26	0.0148615951295434	0.0155802802283016	0.0216334419865237	0.0355007454127309	0.0355007454127309	1.14762715699402e-12
6528	202	ANP32B	0.996763870886028	0.933167753135784	1.3149768331429	0.73014428923366	0.0589842251202309	-0.0589842251202309	0.814911648864233	1.69249449435688e-21	2.39216800419618e-18	5.42290498970657e-32	1.74845191150063e-08	0.872642871971049	0.872642871971049	6.80215728120883e-16
9023	202	DAD1	0.719388816870398	0.569477696757371	0.643159764523391	0.862002160027065	-0.276853775022374	0.276853775022374	1.44717135648184	3.7797457711024e-10	1.24792213745032e-06	7.74262780892861e-08	2.12499692189599e-09	0.14769539524052	0.14769539524052	1.34770294757036e-36
